wine_id,vintage_id,wine_type,region_id,region_name,country_name,used_grapes,relevant_food,top_flavors,vintage_name,wine_name,varietal_name,style_name,year,price,currency_code,acidity,intensity,sweetness,tannin,fizziness,rating_avg,rating_count,vivino_url,description
1122095,164942645,Rose,409.0,Champagne,France,Pinot Noir; Chardonnay; Merlot,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese",citrus; green apple; pear; apple; toast; brioche; lemon; yeast; cream; honey,Moët & Chandon Impérial Brut Champagne,Impérial Brut Champagne,Champagne,French Champagne,,29.99,USD,4.21,3.76,,,4.28,4.1,136529,https://www.vivino.com/US/en/moet-chandon-imperial-brut-champagne/w/1122095,"While there are many sparkling wine regions around the globe, only Champagne from the Champagne appellation in France can be labeled as such. 

Champagne has long been the wine of choice to celebrate special occasions, and its reputation as a luxury beverage has been intact since the Romans established vineyards in Reims in the 5th century (that's a really long time ago). 

Sparkling Champagne wasn't discovered until the 16th century, by accident, by the Benedictine Monks. Early vintages of Champagne were dubbed “the devil's wine” because the bottles tended to explode. Improvements to both bottle and cork developed over hundreds of years. 

Champagne is mainly made from a blend of Chardonnay, Pinot Noir, and Pinot Meunier grapes, and most of it is produced as a non-vintage wine, meaning that it's a blend of several vintages. Generally speaking, non-vintage Champagne is fantastic, and tends to be less expensive than vintage Champagne—this is because a vintage year is only declared when growing conditions are especially favorable. 

The convivial nature of Champagne is due in part to how it's made. Following primary fermentation and bottling, a secondary alcoholic fermentation is induced in the bottle, which is achieved by the addition of yeast and rock sugar. The bubbles we love so much are a natural byproduct of this magical secondary fermentation, in the form of carbon dioxide."
1178210,1561557,Rose,409.0,Champagne,France,Pinot Noir; Chardonnay; Merlot,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese",apple; citrus; brioche; green apple; toast; pear; lemon; cream; yeast; minerals,Pommery Royal Brut Champagne,Royal Brut Champagne,Champagne,French Champagne,,29.99,USD,4.15,3.66,,,4.23,3.9,39101,https://www.vivino.com/US/en/pommery-royal-brut-champagne/w/1178210,"While there are many sparkling wine regions around the globe, only Champagne from the Champagne appellation in France can be labeled as such. 

Champagne has long been the wine of choice to celebrate special occasions, and its reputation as a luxury beverage has been intact since the Romans established vineyards in Reims in the 5th century (that's a really long time ago). 

Sparkling Champagne wasn't discovered until the 16th century, by accident, by the Benedictine Monks. Early vintages of Champagne were dubbed “the devil's wine” because the bottles tended to explode. Improvements to both bottle and cork developed over hundreds of years. 

Champagne is mainly made from a blend of Chardonnay, Pinot Noir, and Pinot Meunier grapes, and most of it is produced as a non-vintage wine, meaning that it's a blend of several vintages. Generally speaking, non-vintage Champagne is fantastic, and tends to be less expensive than vintage Champagne—this is because a vintage year is only declared when growing conditions are especially favorable. 

The convivial nature of Champagne is due in part to how it's made. Following primary fermentation and bottling, a secondary alcoholic fermentation is induced in the bottle, which is achieved by the addition of yeast and rock sugar. The bubbles we love so much are a natural byproduct of this magical secondary fermentation, in the form of carbon dioxide."
6363154,157213587,Rose,4623.0,Champagne Grand Cru 'Chouilly',France,Pinot Noir; Chardonnay; Merlot,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese",apple; citrus; pear; brioche; green apple; toast; lemon; honey; yeast; almond,Nicolas Feuillatte Réserve Exclusive Brut Champagne,Réserve Exclusive Brut Champagne,Champagne,French Champagne,,30.0,USD,4.25,3.66,,,4.28,3.9,27382,https://www.vivino.com/US/en/nicolas-feuillatte-reserve-exclusive-brut-champagne/w/6363154,"While there are many sparkling wine regions around the globe, only Champagne from the Champagne appellation in France can be labeled as such. 

Champagne has long been the wine of choice to celebrate special occasions, and its reputation as a luxury beverage has been intact since the Romans established vineyards in Reims in the 5th century (that's a really long time ago). 

Sparkling Champagne wasn't discovered until the 16th century, by accident, by the Benedictine Monks. Early vintages of Champagne were dubbed “the devil's wine” because the bottles tended to explode. Improvements to both bottle and cork developed over hundreds of years. 

Champagne is mainly made from a blend of Chardonnay, Pinot Noir, and Pinot Meunier grapes, and most of it is produced as a non-vintage wine, meaning that it's a blend of several vintages. Generally speaking, non-vintage Champagne is fantastic, and tends to be less expensive than vintage Champagne—this is because a vintage year is only declared when growing conditions are especially favorable. 

The convivial nature of Champagne is due in part to how it's made. Following primary fermentation and bottling, a secondary alcoholic fermentation is induced in the bottle, which is achieved by the addition of yeast and rock sugar. The bubbles we love so much are a natural byproduct of this magical secondary fermentation, in the form of carbon dioxide."
1134756,1471106,Rose,3233.0,Prosecco di Treviso,Italy,Sangiovese; Chardonnay; Merlot,Shellfish; Vegetarian; Appetizers and snacks; Aperitif; Cured Meat,pear; apple; citrus; green apple; lemon; honey; peach; minerals; grapefruit; cream,La Gioiosa Prosecco Treviso,Prosecco Treviso,Prosecco,Italian Prosecco,,19.67,USD,3.67,2.07,,,3.72,3.7,17190,https://www.vivino.com/US/en/la-gioiosa-prosecco-treviso/w/1134756,"A beautiful, somewhat less popular, and often less expensive comparison to Champagne, Prosecco is a deliciously dry sparkling wine with crisp acidity, low sugar, with plenty of fruit and character.

Associated with high value at low cost, Prosecco is the perfect option in situations where you want or need a sparkling wine.

Traditionally from the Veneto (North Eastern Italy), Prosecco dons the name for a small village and is fermented almost solely from a grape called Glera. Most Prosecco is non vintage - which means it doesn't come with a year of production on the label.

This wine is not made in the traditional method of “champagne making” with riddling, rebottling and such, which, combined with non vintage production, makes the wine more affordable than champagne. But do not worry; lb for lb (or dollar for dollar), Prosecco is often a far tastier option than the French sparkling alternative.

Traditionally served as an aperitif, Prosecco can also be enjoyed with salty cured meats, caviar, or even your favorite dessert. Prosecco is not generally considered a wine to collect."
1117594,1518502,Rose,724.0,Crémant de Bourgogne,France,Pinot Noir; Chardonnay; Merlot,Shellfish; Poultry; Appetizers and snacks; Lean fish; Aperitif,citrus; minerals; apple; green apple; lemon; grapefruit; toast; yeast; pear; brioche,Domaine Les Temps Perdus - Clotilde Davenne Crémant de Bourgogne Brut Extra,Crémant de Bourgogne Brut Extra,Cremant,French Crémant,,27.99,USD,3.67,3.24,,,3.85,3.8,15736,https://www.vivino.com/US/en/clotilde-davenne-cremant-de-bourgogne-brut-extra/w/1117594,
1223973,1650248,Rose,4640.0,Conegliano-Valdobbiadene Prosecco Superiore,Italy,Sangiovese; Chardonnay; Merlot,Shellfish; Vegetarian; Appetizers and snacks; Aperitif; Cured Meat,apple; pear; citrus; peach; green apple; lemon; minerals; honey; lime; melon,Santa Margherita Valdobbiadene Prosecco Superiore,Valdobbiadene Prosecco Superiore,Prosecco,Italian Prosecco,,21.99,USD,3.78,2.16,,,3.84,3.8,15433,https://www.vivino.com/US/en/santa-margherita-valdobbiadene-prosecco-superiore/w/1223973,"A beautiful, somewhat less popular, and often less expensive comparison to Champagne, Prosecco is a deliciously dry sparkling wine with crisp acidity, low sugar, with plenty of fruit and character.

Associated with high value at low cost, Prosecco is the perfect option in situations where you want or need a sparkling wine.

Traditionally from the Veneto (North Eastern Italy), Prosecco dons the name for a small village and is fermented almost solely from a grape called Glera. Most Prosecco is non vintage - which means it doesn't come with a year of production on the label.

This wine is not made in the traditional method of “champagne making” with riddling, rebottling and such, which, combined with non vintage production, makes the wine more affordable than champagne. But do not worry; lb for lb (or dollar for dollar), Prosecco is often a far tastier option than the French sparkling alternative.

Traditionally served as an aperitif, Prosecco can also be enjoyed with salty cured meats, caviar, or even your favorite dessert. Prosecco is not generally considered a wine to collect."
4381953,164943133,Rose,817.0,Franciacorta,Italy,Sangiovese; Chardonnay; Merlot,Shellfish; Appetizers and snacks; Lean fish; Mild and soft cheese; Aperitif,citrus; apple; green apple; pear; lemon; brioche; toast; peach; yeast; grapefruit,Bellavista Alma Gran Cuvée Brut,Alma Gran Cuvée Brut,Sparkling,Italian Franciacorta Sparkling,,24.0,USD,3.97,2.93,,,3.43,3.9,14796,https://www.vivino.com/US/en/bellavista-franciacorta-alma-gran-cuvee-brut/w/4381953,
1293346,1663386,Rose,2449.0,Crémant de Limoux,France,Pinot Noir; Chardonnay; Merlot,Shellfish; Poultry; Appetizers and snacks; Lean fish; Aperitif,green apple; citrus; cream; peach; lemon; apple; pear; brioche; yeast; honey,Sieur d'Arques Aimery Crémant de Limoux Grande Cuvée 1531,Aimery Crémant de Limoux Grande Cuvée 1531,Cremant,French Crémant,,16.99,USD,3.54,3.24,,,3.77,4.0,13851,https://www.vivino.com/US/en/sieur-d-arques-aimery-cremant-de-limoux-grande-cuvee-1531/w/1293346,
15231,1568756,Rose,4640.0,Conegliano-Valdobbiadene Prosecco Superiore,Italy,Sangiovese; Chardonnay; Merlot,Shellfish; Vegetarian; Appetizers and snacks; Aperitif; Cured Meat,pear; apple; citrus; green apple; peach; lemon; cream; minerals; grapefruit; apricot,Carpenè Malvolti Conegliano Valdobbiadene Prosecco Superiore Extra Dry,Conegliano Valdobbiadene Prosecco Superiore Extra Dry,Prosecco,Italian Prosecco,,23.0,USD,3.8,2.18,,,3.87,3.8,11854,https://www.vivino.com/US/en/carpene-malvolti-conegliano-valdobbiadene-prosecco-superiore-extra-dry/w/15231,"A beautiful, somewhat less popular, and often less expensive comparison to Champagne, Prosecco is a deliciously dry sparkling wine with crisp acidity, low sugar, with plenty of fruit and character.

Associated with high value at low cost, Prosecco is the perfect option in situations where you want or need a sparkling wine.

Traditionally from the Veneto (North Eastern Italy), Prosecco dons the name for a small village and is fermented almost solely from a grape called Glera. Most Prosecco is non vintage - which means it doesn't come with a year of production on the label.

This wine is not made in the traditional method of “champagne making” with riddling, rebottling and such, which, combined with non vintage production, makes the wine more affordable than champagne. But do not worry; lb for lb (or dollar for dollar), Prosecco is often a far tastier option than the French sparkling alternative.

Traditionally served as an aperitif, Prosecco can also be enjoyed with salty cured meats, caviar, or even your favorite dessert. Prosecco is not generally considered a wine to collect."
1675296,2599925,Rose,25.0,Napa Valley,United States,Cabernet Sauvignon; Pinot Noir; Chardonnay,Shellfish; Appetizers and snacks; Lean fish; Aperitif,apple; citrus; pear; green apple; toast; lemon; honey; cream; vanilla; brioche,Mumm Napa Brut Prestige,Brut Prestige,Sparkling,Californian Sparkling,,16.98,USD,3.31,3.81,,,3.87,3.8,11413,https://www.vivino.com/US/en/mumm-napa-brut-prestige/w/1675296,"The elegance of sparkling wine suits Northern California's wine region. While California isn't exactly famous for its bubbles, there are some fabulous bottles on offer.

These wines are known to be crisp, dry and extremely mousse-y. With wonderful fizz, fantastic citrus, orchard and brioche notes, Californian sparkling wine provides a great alternative to overpriced Champagne.

Sparkling wine production in California started in 1892 with the Korbel Brothers in Sonoma County. They began producing what's regarded as the first quality sparkling wine in America using the méthode champenoise (the process of having secondary fermentation inside the bottle, thus creating the bubbles).

Most Champagne and sparkling wine is made with Pinot Noir or Chardonnay grapes, two varietals that grow in abundance in California.

Some of the finest sparkling wines in California come from Mendocino County, specifically in the Anderson Valley. Some of the big names are Scharffenberger, Roederer and Schramsberg.

For pairing with Californian sparkling wine you should look towards seafood. A nice charred squid or some scallops would go wonderfully, and you could even work something a little spicier in there."
